,w,h,x_center,id,y_center,classes
0,0.9385416666666666,0.9743827160493826,0.4920138888888889,image_1158,0.5149691358024692,0
1,0.7625771604938271,0.8808641975308644,0.4516975308641975,image_1158,0.5570987654320989,1
2,0.1150848765432098,0.26683813443072696,0.7625771604938272,image_1158,0.17354252400548698,5
3,0.09837962962962964,0.16460905349794233,0.3530092592592593,image_1158,0.19979423868312746,5
4,0.21664737654320979,0.3510631001371742,0.1536361882716049,image_1158,0.1755315500685871,6
5,0.30694444444444446,0.4922839506172838,0.15312500000000004,image_1158,0.5455246913580247,2
6,0.11427469135802475,0.18635116598079549,0.11317515432098763,image_1158,0.8682441700960222,5
7,0.34942129629629654,0.5529492455418383,0.5216435185185186,image_1158,0.6046982167352538,7
8,0.21219135802469122,0.6292866941015091,0.7634066358024691,image_1158,0.6138888888888887,7
9,0.20447530864197527,0.19375857338820301,0.333815586419753,image_1158,0.34245541838134436,8
10,0.11284722222222227,0.19204389574759934,0.509645061728395,image_1158,0.21282578875171468,8
11,0.3518711419753088,0.18621399176954753,0.7079185956790122,image_1158,0.9038065843621399,5
12,0.2620648734177215,0.2766105981374887,0.8674149525316456,image_293,0.22259249990121052,3
13,0.25415348101265817,0.3174435911958799,0.8476364715189875,image_293,0.3984378087171854,2
14,0.2759098101265822,0.4399425703710534,0.5924940664556962,image_293,0.4899827447674496,5
15,0.28382120253164556,0.6098605092269391,0.14352254746835444,image_293,0.5525494276795005,5
16,0.167128164556962,0.22128847850999098,0.3304291930379747,image_293,0.6243364638628012,10
17,0.22250791139240503,0.18177267877606398,0.3838310917721519,image_293,0.25815671966174475,7
18,0.7070806962025317,0.5729790961419408,0.5430478639240507,image_293,0.538060301110394,1
19,0.9562895569620253,0.6559622755831874,0.49261273734177213,image_293,0.5374017044481619,0
20,0.31942246835443044,0.48655063291139233,0.8377472310126581,image_287,0.5729034810126582,5
21,0.29173259493670883,0.29140295358649787,0.7378659018987341,image_287,0.2393064345991561,7
